Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
gangstatestOn33,DE,359,960,84.200.8.33,root79-web3.ip-projects.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2014-04-18,ACCELERATED-IT - DE,31400,1960,None
ktorrc,GB,359,323,178.79.144.163,li264-163.members.linode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.12 on Linux,0,0,2016-07-01,LINODE-AP Linode- LLC- US,63949,1560,None
manzer,FR,359,1725,45.32.151.73,45.32.151.73.vultr.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-04-19,AS-CHOOPA - Choopa- LLC- US,20473,1000,None
ui,NL,360,50,83.83.251.73,5353FB49.cm-6-4d.dynamic.ziggo.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-06-05,ZIGGO Ziggo B.V.- NL,9143,1330,None
WatchTower,US,360,665,73.60.57.184,c-73-60-57-184.hsd1.ma.comcast.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-12-22,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,1260,None
incubos,DE,361,563,46.101.150.49,46.101.150.49,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-09-15,DIGITALOCEAN-GERMANY - DE,201229,1480,None
Necto4,RO,361,54,93.115.95.205,lh28409.voxility.net,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-08-28,VOXILITY - RO,3223,3380,None
RRDOTR1,NL,361,223,128.199.52.7,128.199.52.7,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2015-05-22,DIGITALOCEAN-ASN-3 - NL,202018,795,None
slendersuzy,US,361,30,69.164.197.36,hunter.nrbelltest.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2013-05-01,LINODE-AP Linode- LLC- US,63949,2690,None
Solipsism,BG,361,1141,79.98.108.57,eris.programings.eu,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-10-27,DELTA-BG-AS - BG,197216,2480,None
Thor,SE,361,147,81.170.132.28,h-132-28.a151.priv.bahnhof.se,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-07-30,BAHNHOF http://www.bahnhof.net/- SE,8473,1450,None
Aragorn,FR,362,207,37.187.1.29,ns323567.ip-37-187-1.eu,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-09-16,OVH - FR,16276,1680,None
bsd,DE,362,5,46.182.18.214,46.182.18.214,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on FreeBSD,0,0,2016-12-05,NBISERV-AS - DE,43847,3820,None
dana4,US,362,223,96.126.96.90,li329-90.members.linode.com,22,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-01-04,LINODE-AP Linode- LLC- US,63949,1160,None
defusedotcatwo,CA,362,222,198.27.69.201,ns520944.ip-198-27-69.net,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2014-04-12,OVH - FR,16276,2330,None
rotorstator,US,362,1082,74.91.21.2,s01.crucialwest.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-06-24,DATASHACK - DataShack- LC- US,33387,1350,None
tributdotde,DE,362,946,5.9.121.79,static.79.121.9.5.clients.your-server.de,20,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-08,HETZNER-AS - DE,24940,1660,None
bsdb,DE,363,5,46.182.18.214,46.182.18.214,9002,9031,0,1,1,1,0,1,1,1,1,Tor 0.2.9.8 on FreeBSD,0,0,2017-01-19,NBISERV-AS - DE,43847,2420,None
greybig,LT,363,225,185.25.48.157,wareheaven.com,24016,25763,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-01-24,IST-AS - LT,61272,1260,None
sarcasticbastard,NL,363,96,188.166.17.104,188.166.17.104,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.7.6 on FreeBSD,0,0,2016-01-09,DIGITALOCEAN-ASN-3 - NL,202018,1750,[2a03:b0c0:2:d0::f0:5001]:9001
alex,CH,364,468,85.195.215.9,85-195-215-9.init7.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2012-01-13,INIT7 - CH,13030,1320,None
DeepGreenResistance,SC,364,304,185.165.168.170,deepgreenresistance.org,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.12 on Linux,0,0,2017-01-21,FLOKINET - RO,200651,1420,None
DeTest,RO,364,196,93.113.175.25,93-113-175-25.undotech.ro,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2017-01-25,ALLNET-AS IALOMICIOAREI Nr.20- RO,20722,2020,None
fuck,DE,364,538,188.138.89.59,static-ip-188-138-89-59.inaddr.ip-pool.com,30940,26656,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-03-15,PLUSSERVER-AS - DE,8972,1480,None
hackbloc1,US,364,41,173.255.250.231,cooperq.com,143,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-12-31,LINODE-AP Linode- LLC- US,63949,2950,None
lipa4r,FR,364,18,37.187.110.129,worker.siguna.pl,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2016-07-08,OVH - FR,16276,1390,None
sm0pjr,SE,364,1359,176.10.255.253,h-255-253.a165.priv.bahnhof.se,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-07-21,BAHNHOF http://www.bahnhof.net/- SE,8473,1880,None
